code	binomial	pubmed_count
pcs	Penicillium rubens	109
pcur	Phaenicophaeus curvirostris	0
pebu	Primulina eburnea	5
pech	Psittacula echo	2
pee	Phycodurus eques	7
pfd	Plasmodium falciparum	39627
pfh	Plasmodium falciparum	39627
pgab	Plasmodium gaboni	11
pgc	Pseudomyrmex gracilis	8
pgeo	Pseudochaenichthys georgianus	9
pguu	Pterocles gutturalis	0
phet	Porcisia hertigi	3
phua	Primulina huaijiensis	5
pki	Paramormyrops kingsleyae	5
pklu	Pempheris klunzingeri	1
plag	Plasmodium adleri	3
plet	Phaethon lepturus	12
pmec	Polyergus mexicanus	3
pmeo	Paramacrobiotus metropolitanus	4
pmum	Prunus mume	419
pocc	Pezoporus occidentalis	3
ppam	Pteronotus mesoamericanus	8
ppei	Pyricularia pennisetigena	5
pprl	Poeciliopsis prolifica	5
ppsa	Podospora pseudoanserina	1
ppsd	Podospora pseudocomata	2
ppsf	Penicillium psychrofluorescens	1
ppsp	Podospora pseudopauciseta	1
ppus	Pogoniulus pusillus	0
praf	Podarcis raffonei	8
pruf	Pyrgilauda ruficollis	6
psat	Lathyrus oleraceus	3
psco	Mollisia scopiformis	0
pswi	Pseudoliparis swirei	12
ptab	Primulina tabacum	1
ptet	Puntigrus tetrazona	10
ptkz	Purpureocillium takamizusanense	6
pvp	Pteropus vampyrus	67
pxb	Pyrus x	6
rarg	Rhodamnia argentea	6
rbra	Raja brachyura	12
rkg	Rhinichthys klamathensis	1
rsz	Raphanus sativus	1728
rthe	Remersonia thermophila	2
rvl	Rhododendron vialii	4
rze	Rhagoletis zephyria	9
salp	Salvelinus sp. IW2-2015	0
sanh	Sinocyclocheilus anshuiensis	5
sbia	Syngnathoides biaculeatus	6
sfum	Sorex fumeus	9
sgra	Sporisorium graminicola	2
shab	Strigops habroptila	3
shon	Sturnira hondurensis	3
slb	Sugiyamaella lignohabitans	8
som	Schizosaccharomyces osmophilus	4
srx	Sinocyclocheilus rhinocerous	8
sstn	Solanum stenotomum	7
stow	Sphaerodactylus townsendi	2
tame	Temnothorax americanus	9
tbl	Henningerozyma blattae	0
tbr	Trypanosoma brucei	9904
tbt	Telmatherina bonti	1
tbu	Taurulus bubalis	6
tcz	Trachymyrmex cornetzi	3
tdw	Triplophysa dalaica	5
teo	Tauraco erythrolophus	1
tgb	Torulaspora globosa	9
tgt	Tinamus guttatus	2
tpf	Tetrapisispora phaffii	10
trn	Trichomycterus rosablanca	2
tros	Triplophysa rosa	7
trr	Trichoderma reesei	2792
tss	Telopea speciosissima	6
tvc	Tachysurus vachellii	2
udv	Uloborus diversus	8
uma	Mycosarcoma maydis	1
val	Verticillium alfalfae	9
vcha	Vidua chalybeata	4
vem	Vollenhovia emeryi	8
vmc	Vidua macroura	5
vpo	Vanderwaltozyma polyspora	6
wsb	Watersipora subatra	5
wse	Wallemia mellicola	8
xco	Xiphophorus couchianus	11
xen	Xenia sp. Carnegie-2017	0
